EstudianteID,Nombre,FechaIngreso,Genero,Ciudad,anio_x,InscripcionID,CarreraID,NotaFinal,SemestreActual,anio_y
39,Estudiante_39,2021-07-17,f,Cochabamba,2021,39,1,81.0,3,2024
40,Estudiante_40,2020-09-25,f,Sucre,2020,40,1,63.0,10,2024
41,Estudiante_41,2020-04-17,m,Santa Cruz de la Sierra,2020,41,2,52.0,7,2024
42,Estudiante_42,2021-08-30,f,Santa Cruz de la Sierra,2021,42,1,59.0,2,2024
43,Estudiante_43,2021-10-25,m,Cochabamba,2021,43,1,22.0,7,2024
44,Estudiante_44,2023-05-27,m,Sucre,2023,44,2,62.0,8,2024
45,Estudiante_45,2022-01-17,f,Santa Cruz de la Sierra,2022,45,3,78.0,5,2024
46,Estudiante_46,2020-03-24,f,Cochabamba,2020,46,1,42.0,6,2024
47,Estudiante_47,2020-02-29,f,Santa Cruz de la Sierra,2020,47,4,82.0,6,2024
48,Estudiante_48,2020-11-13,m,Cochabamba,2020,48,1,59.0,8,2024
49,Estudiante_49,2021-11-09,f,Santa Cruz de la Sierra,2021,49,2,95.0,9,2024
50,Estudiante_50,2022-01-10,m,Sucre,2022,50,1,53.0,4,2024
51,Estudiante_51,2023-10-27,m,Santa Cruz de la Sierra,2023,51,2,81.0,9,2024
52,Estudiante_52,2023-06-09,f,Cochabamba,2023,52,2,56.0,4,2024
53,Estudiante_53,2023-04-13,m,Cochabamba,2023,53,2,66.0,1,2024
54,Estudiante_54,2023-06-21,f,La Paz,2023,54,3,72.0,3,2024
55,Estudiante_55,2022-08-04,f,Santa Cruz de la Sierra,2022,55,2,94.0,5,2024
56,Estudiante_56,2023-05-28,f,Sucre,2023,56,2,51.0,4,2024
57,Estudiante_57,2020-03-14,f,Cochabamba,2020,57,3,83.0,4,2024
58,Estudiante_58,2021-06-30,f,Santa Cruz de la Sierra,2021,58,1,68.0,8,2024
59,Estudiante_59,2020-04-10,f,Cochabamba,2020,59,4,66.0,2,2024
60,Estudiante_60,2021-08-26,m,Santa Cruz de la Sierra,2021,60,1,66.0,1,2024
61,Estudiante_61,2020-07-07,m,La Paz,2020,61,1,72.0,8,2024
62,Estudiante_62,2021-11-14,f,La Paz,2021,62,2,69.0,1,2024
63,Estudiante_63,2020-07-06,m,Cochabamba,2020,63,2,60.0,1,2024
64,Estudiante_64,2022-07-30,f,Cochabamba,2022,64,2,66.0,1,2024
65,Estudiante_65,2022-10-27,f,La Paz,2022,65,1,62.0,10,2024
66,Estudiante_66,2020-02-03,m,La Paz,2020,66,1,66.0,4,2024
67,Estudiante_67,2021-01-23,f,Cochabamba,2021,67,4,70.0,2,2024
68,Estudiante_68,2020-04-05,f,La Paz,2020,68,2,64.0,10,2024
69,Estudiante_69,2020-03-19,f,Santa Cruz de la Sierra,2020,69,4,55.0,7,2024
70,Estudiante_70,2023-03-09,f,La Paz,2023,70,2,59.0,4,2024
71,Estudiante_71,2023-08-07,m,La Paz,2023,71,1,84.0,8,2024
72,Estudiante_72,2021-09-16,m,La Paz,2021,72,2,73.0,5,2024
73,Estudiante_73,2020-09-21,m,Sucre,2020,73,1,33.0,3,2024
74,Estudiante_74,2021-07-18,f,Santa Cruz de la Sierra,2021,74,4,95.0,9,2024
75,Estudiante_75,2021-03-12,f,La Paz,2021,75,1,73.0,4,2024
76,Estudiante_76,2023-12-23,m,Sucre,2023,76,3,97.0,9,2024
77,Estudiante_77,2022-07-03,m,Santa Cruz de la Sierra,2022,77,2,54.0,10,2024
78,Estudiante_78,2021-02-24,m,Cochabamba,2021,78,5,90.0,9,2024
79,Estudiante_79,2021-10-02,f,Santa Cruz de la Sierra,2021,79,5,52.0,3,2024
80,Estudiante_80,2022-10-25,f,La Paz,2022,80,5,29.0,1,2024
81,Estudiante_81,2023-09-21,f,Cochabamba,2023,81,1,63.0,7,2024
82,Estudiante_82,2023-08-31,m,Cochabamba,2023,82,4,66.0,2,2024
83,Estudiante_83,2022-05-31,f,Santa Cruz de la Sierra,2022,83,1,66.0,5,2024
84,Estudiante_84,2020-03-21,f,Santa Cruz de la Sierra,2020,84,1,100.0,2,2024
85,Estudiante_85,2020-01-21,f,La Paz,2020,85,1,62.0,4,2024
86,Estudiante_86,2023-03-02,f,Sucre,2023,86,1,97.0,5,2024
87,Estudiante_87,2023-04-03,m,Santa Cruz de la Sierra,2023,87,1,66.0,6,2024
88,Estudiante_88,2021-01-04,m,Santa Cruz de la Sierra,2021,88,2,55.0,8,2024
89,Estudiante_89,2022-04-16,m,La Paz,2022,89,1,65.0,1,2024
90,Estudiante_90,2021-05-03,f,Cochabamba,2021,90,1,79.0,9,2024
91,Estudiante_91,2020-08-26,f,Santa Cruz de la Sierra,2020,91,2,66.0,1,2024
92,Estudiante_92,2020-10-13,m,Cochabamba,2020,92,3,79.0,10,2024
93,Estudiante_93,2023-11-25,f,Tarija,2023,93,1,52.0,8,2024
94,Estudiante_94,2021-06-10,f,La Paz,2021,94,1,81.0,7,2024
95,Estudiante_95,2021-09-02,m,Santa Cruz de la Sierra,2021,95,4,81.0,8,2024
96,Estudiante_96,2022-10-12,m,Santa Cruz de la Sierra,2022,96,1,61.0,1,2024
97,Estudiante_97,2020-05-31,f,Cochabamba,2020,97,3,79.0,4,2024
98,Estudiante_98,2020-08-27,f,Santa Cruz de la Sierra,2020,98,4,77.0,5,2024
99,Estudiante_99,2023-05-19,f,Cochabamba,2023,99,5,66.0,2,2024
100,Estudiante_100,2021-08-29,m,Santa Cruz de la Sierra,2021,100,4,63.0,2,2024
101,Estudiante_101,2020-09-03,f,La Paz,2020,101,2,67.0,6,2024
102,Estudiante_102,2021-04-04,m,Santa Cruz de la Sierra,2021,102,4,53.0,4,2024
103,Estudiante_103,2023-10-13,f,Santa Cruz de la Sierra,2023,103,2,68.0,8,2024
104,Estudiante_104,2022-02-28,m,Tarija,2022,104,1,66.0,1,2024
105,Estudiante_105,2020-06-14,m,Santa Cruz de la Sierra,2020,105,2,54.0,1,2024
106,Estudiante_106,2022-11-28,m,Cochabamba,2022,106,2,67.0,10,2024
107,Estudiante_107,2020-10-22,m,Santa Cruz de la Sierra,2020,107,4,86.0,9,2024
108,Estudiante_108,2020-06-15,m,Tarija,2020,108,4,73.0,4,2024
109,Estudiante_109,2023-11-26,f,Santa Cruz de la Sierra,2023,109,3,66.0,3,2024
110,Estudiante_110,2020-10-22,f,Cochabamba,2020,110,1,80.0,10,2024
111,Estudiante_111,2023-09-11,f,Santa Cruz de la Sierra,2023,111,5,66.0,8,2024
112,Estudiante_112,2023-12-20,m,Tarija,2023,112,1,66.0,6,2024
113,Estudiante_113,2022-04-02,f,La Paz,2022,113,1,51.0,4,2024
114,Estudiante_114,2023-04-15,f,Tarija,2023,114,2,81.0,4,2024
115,Estudiante_115,2022-07-23,f,Cochabamba,2022,115,1,73.0,3,2024
116,Estudiante_116,2022-07-31,f,Sucre,2022,116,2,52.0,2,2024
117,Estudiante_117,2022-03-03,f,La Paz,2022,117,3,78.0,4,2024
118,Estudiante_118,2022-02-27,m,Tarija,2022,118,1,56.0,4,2024
119,Estudiante_119,2022-05-23,f,Santa Cruz de la Sierra,2022,119,1,81.0,10,2024
120,Estudiante_120,2020-05-26,f,Cochabamba,2020,120,5,80.0,3,2024
121,Estudiante_121,2021-07-24,f,La Paz,2021,121,1,66.0,1,2024
122,Estudiante_122,2022-09-26,m,Santa Cruz de la Sierra,2022,122,2,66.0,1,2024
123,Estudiante_123,2022-07-31,f,Cochabamba,2022,123,2,59.0,3,2024
124,Estudiante_124,2023-07-28,f,La Paz,2023,124,4,79.0,9,2024
125,Estudiante_125,2020-05-29,m,Sucre,2020,125,1,55.0,9,2024
126,Estudiante_126,2023-10-13,m,La Paz,2023,126,1,66.0,7,2024
127,Estudiante_127,2022-03-30,f,Tarija,2022,127,1,67.0,2,2024
128,Estudiante_128,2020-01-30,m,La Paz,2020,128,4,66.0,2,2024
129,Estudiante_129,2023-05-06,f,Cochabamba,2023,129,4,63.0,8,2024
130,Estudiante_130,2020-07-05,m,Santa Cruz de la Sierra,2020,130,2,23.0,1,2024
131,Estudiante_131,2022-10-11,f,Santa Cruz de la Sierra,2022,131,3,70.0,3,2024
132,Estudiante_132,2022-12-07,f,Santa Cruz de la Sierra,2022,132,5,66.0,4,2024
133,Estudiante_133,2022-06-11,m,La Paz,2022,133,1,74.0,7,2024
134,Estudiante_134,2023-06-05,f,Santa Cruz de la Sierra,2023,134,1,54.0,4,2024
135,Estudiante_135,2020-02-12,m,Santa Cruz de la Sierra,2020,135,1,81.0,4,2024
136,Estudiante_136,2023-09-20,m,La Paz,2023,136,3,53.0,6,2024
137,Estudiante_137,2021-10-23,f,La Paz,2021,137,1,59.0,10,2024
138,Estudiante_138,2022-12-03,m,Sucre,2022,138,2,44.0,8,2024
139,Estudiante_139,2020-10-14,f,Santa Cruz de la Sierra,2020,139,2,95.0,2,2024
140,Estudiante_140,2022-02-18,m,La Paz,2022,140,1,25.0,3,2024
141,Estudiante_141,2021-02-15,m,La Paz,2021,141,1,72.0,6,2024
142,Estudiante_142,2021-12-22,f,Sucre,2021,142,2,52.0,4,2024
143,Estudiante_143,2021-12-17,m,La Paz,2021,143,1,66.0,6,2024
144,Estudiante_144,2022-08-25,f,Cochabamba,2022,144,4,27.0,6,2024
145,Estudiante_145,2023-07-15,m,Santa Cruz de la Sierra,2023,145,1,70.0,9,2024
146,Estudiante_146,2020-02-03,f,La Paz,2020,146,2,54.0,10,2024
147,Estudiante_147,2022-04-26,m,Cochabamba,2022,147,1,66.0,2,2024
148,Estudiante_148,2020-11-05,m,Tarija,2020,148,1,73.0,5,2024
149,Estudiante_149,2023-08-24,m,Santa Cruz de la Sierra,2023,149,5,94.0,1,2024
150,Estudiante_150,2023-01-10,f,Santa Cruz de la Sierra,2023,150,2,90.0,7,2024
151,Estudiante_151,2021-03-13,f,Santa Cruz de la Sierra,2021,151,3,71.0,1,2024
152,Estudiante_152,2021-01-16,m,Santa Cruz de la Sierra,2021,152,2,78.0,3,2024
153,Estudiante_153,2020-07-01,f,Santa Cruz de la Sierra,2020,153,1,69.0,10,2024
154,Estudiante_154,2021-11-09,f,Sucre,2021,154,2,52.0,3,2024
155,Estudiante_155,2022-10-05,m,Santa Cruz de la Sierra,2022,155,4,43.0,6,2024
156,Estudiante_156,2022-03-27,f,Sucre,2022,156,2,65.0,7,2024
157,Estudiante_157,2022-02-23,f,La Paz,2022,157,1,66.0,9,2024
158,Estudiante_158,2023-07-20,m,Santa Cruz de la Sierra,2023,158,3,72.0,3,2024
159,Estudiante_159,2022-07-21,f,Sucre,2022,159,4,77.0,8,2024
160,Estudiante_160,2023-09-11,f,Cochabamba,2023,160,1,71.0,8,2024
161,Estudiante_161,2021-06-29,m,Santa Cruz de la Sierra,2021,161,1,39.0,6,2024
162,Estudiante_162,2021-12-30,m,Santa Cruz de la Sierra,2021,162,2,66.0,6,2024
163,Estudiante_163,2023-05-06,f,La Paz,2023,163,4,98.0,7,2024
164,Estudiante_164,2020-03-13,f,La Paz,2020,164,5,21.0,7,2024
165,Estudiante_165,2020-10-27,f,Sucre,2020,165,2,81.0,1,2024
166,Estudiante_166,2020-10-11,f,Sucre,2020,166,3,90.0,9,2024
167,Estudiante_167,2021-11-02,m,Santa Cruz de la Sierra,2021,167,2,63.0,1,2024
168,Estudiante_168,2023-06-03,m,Sucre,2023,168,5,34.0,9,2024
169,Estudiante_169,2022-01-25,f,La Paz,2022,169,3,55.0,3,2024
170,Estudiante_170,2020-12-28,f,La Paz,2020,170,1,66.0,3,2024
171,Estudiante_171,2022-09-28,f,Santa Cruz de la Sierra,2022,171,2,66.0,6,2024
172,Estudiante_172,2021-11-19,f,Cochabamba,2021,172,1,23.0,8,2024
173,Estudiante_173,2023-04-09,f,La Paz,2023,173,4,74.0,8,2024
174,Estudiante_174,2023-03-18,m,La Paz,2023,174,3,26.0,1,2024
175,Estudiante_175,2020-02-02,f,Santa Cruz de la Sierra,2020,175,5,83.0,2,2024
176,Estudiante_176,2020-05-12,m,Santa Cruz de la Sierra,2020,176,2,66.0,8,2024
177,Estudiante_177,2021-10-21,f,Santa Cruz de la Sierra,2021,177,4,40.0,3,2024
178,Estudiante_178,2021-02-23,m,La Paz,2021,178,3,53.0,8,2024
179,Estudiante_179,2020-06-22,m,La Paz,2020,179,1,92.0,9,2024
180,Estudiante_180,2020-02-07,m,Sucre,2020,180,1,68.0,5,2024
181,Estudiante_181,2022-11-14,f,La Paz,2022,181,4,84.0,8,2024
182,Estudiante_182,2021-01-23,f,Sucre,2021,182,1,80.0,2,2024
183,Estudiante_183,2021-10-28,f,La Paz,2021,183,1,54.0,1,2024
184,Estudiante_184,2023-01-02,f,Santa Cruz de la Sierra,2023,184,4,72.0,6,2024
185,Estudiante_185,2022-12-16,f,Santa Cruz de la Sierra,2022,185,4,33.0,1,2024
186,Estudiante_186,2020-04-04,m,Santa Cruz de la Sierra,2020,186,4,59.0,9,2024
187,Estudiante_187,2020-04-16,f,Santa Cruz de la Sierra,2020,187,3,79.0,4,2024
188,Estudiante_188,2022-04-29,m,La Paz,2022,188,1,77.0,6,2024
189,Estudiante_189,2022-05-28,m,Santa Cruz de la Sierra,2022,189,1,100.0,4,2024
190,Estudiante_190,2021-09-21,m,Santa Cruz de la Sierra,2021,190,1,66.0,2,2024
191,Estudiante_191,2020-03-12,f,Santa Cruz de la Sierra,2020,191,1,77.0,6,2024
192,Estudiante_192,2022-08-14,f,Santa Cruz de la Sierra,2022,192,1,56.0,2,2024
193,Estudiante_193,2023-07-18,m,Cochabamba,2023,193,1,51.0,4,2024
194,Estudiante_194,2020-06-28,f,La Paz,2020,194,4,87.0,7,2024
195,Estudiante_195,2020-02-10,f,Sucre,2020,195,4,63.0,3,2024
196,Estudiante_196,2020-09-08,f,Cochabamba,2020,196,4,66.0,2,2024
197,Estudiante_197,2023-07-14,f,Cochabamba,2023,197,5,62.0,8,2024
198,Estudiante_198,2022-11-20,f,Santa Cruz de la Sierra,2022,198,2,66.0,9,2024
199,Estudiante_199,2021-10-01,m,Santa Cruz de la Sierra,2021,199,2,73.0,8,2024
200,Estudiante_200,2021-10-08,m,Sucre,2021,200,5,73.0,3,2024
201,Estudiante_201,2022-03-22,m,Santa Cruz de la Sierra,2022,201,1,69.0,4,2024
202,Estudiante_202,2023-12-08,m,La Paz,2023,202,4,83.0,9,2024
203,Estudiante_203,2023-05-18,f,Santa Cruz de la Sierra,2023,203,3,49.0,7,2024
204,Estudiante_204,2021-09-05,m,Santa Cruz de la Sierra,2021,204,4,56.0,9,2024
205,Estudiante_205,2021-05-11,m,Santa Cruz de la Sierra,2021,205,1,70.0,5,2024
206,Estudiante_206,2021-01-06,f,La Paz,2021,206,4,81.0,7,2024
207,Estudiante_207,2023-09-28,f,Tarija,2023,207,1,71.0,3,2024
208,Estudiante_208,2021-09-05,m,Cochabamba,2021,208,5,66.0,2,2024
209,Estudiante_209,2022-02-22,f,La Paz,2022,209,2,70.0,8,2024
210,Estudiante_210,2022-04-26,f,Sucre,2022,210,5,89.0,6,2024
211,Estudiante_211,2022-11-02,f,La Paz,2022,211,1,22.0,7,2024
212,Estudiante_212,2020-09-17,f,Tarija,2020,212,2,66.0,10,2024
213,Estudiante_213,2023-08-31,f,Santa Cruz de la Sierra,2023,213,5,66.0,3,2024
214,Estudiante_214,2021-06-11,m,La Paz,2021,214,4,56.0,1,2024
215,Estudiante_215,2020-03-12,f,Santa Cruz de la Sierra,2020,215,1,58.0,7,2024
216,Estudiante_216,2023-09-04,f,Santa Cruz de la Sierra,2023,216,2,81.0,1,2024
217,Estudiante_217,2023-07-01,m,Santa Cruz de la Sierra,2023,217,5,52.0,10,2024
218,Estudiante_218,2022-09-22,f,La Paz,2022,218,1,48.0,10,2024
219,Estudiante_219,2023-12-27,f,Cochabamba,2023,219,1,32.0,10,2024
220,Estudiante_220,2021-12-17,f,La Paz,2021,220,2,62.0,7,2024
221,Estudiante_221,2021-06-18,m,Santa Cruz de la Sierra,2021,221,1,100.0,4,2024
222,Estudiante_222,2023-03-10,m,Santa Cruz de la Sierra,2023,222,3,70.0,9,2024
223,Estudiante_223,2021-08-26,f,Santa Cruz de la Sierra,2021,223,2,66.0,1,2024
224,Estudiante_224,2022-02-20,f,La Paz,2022,224,5,95.0,10,2024
225,Estudiante_225,2021-10-08,m,La Paz,2021,225,1,72.0,4,2024
226,Estudiante_226,2021-08-07,m,Cochabamba,2021,226,2,64.0,7,2024
227,Estudiante_227,2021-05-15,m,Santa Cruz de la Sierra,2021,227,2,53.0,6,2024
228,Estudiante_228,2021-05-17,m,La Paz,2021,228,2,51.0,9,2024
229,Estudiante_229,2023-08-01,f,Santa Cruz de la Sierra,2023,229,4,51.0,7,2024
230,Estudiante_230,2023-10-28,f,Santa Cruz de la Sierra,2023,230,1,66.0,2,2024
231,Estudiante_231,2020-07-10,m,Sucre,2020,231,3,81.0,7,2024
232,Estudiante_232,2022-08-01,m,Santa Cruz de la Sierra,2022,232,1,79.0,10,2024
233,Estudiante_233,2020-04-28,m,Santa Cruz de la Sierra,2020,233,1,58.0,9,2024
234,Estudiante_234,2022-08-27,f,La Paz,2022,234,2,94.0,7,2024
235,Estudiante_235,2021-08-18,m,Santa Cruz de la Sierra,2021,235,1,62.0,3,2024
236,Estudiante_236,2022-09-20,f,La Paz,2022,236,5,84.0,5,2024
237,Estudiante_237,2021-09-27,f,Cochabamba,2021,237,5,62.0,4,2024
238,Estudiante_238,2023-08-10,f,Cochabamba,2023,238,2,24.0,7,2024
239,Estudiante_239,2021-10-28,m,La Paz,2021,239,4,67.0,9,2024
240,Estudiante_240,2021-11-05,m,Santa Cruz de la Sierra,2021,240,4,96.0,10,2024
241,Estudiante_241,2021-11-05,m,La Paz,2021,241,2,83.0,10,2024
242,Estudiante_242,2020-01-13,m,La Paz,2020,242,4,62.0,7,2024
243,Estudiante_243,2021-06-21,f,Tarija,2021,243,2,46.0,6,2024
244,Estudiante_244,2023-07-20,m,Sucre,2023,244,5,67.0,8,2024
245,Estudiante_245,2020-12-07,f,Cochabamba,2020,245,4,57.0,9,2024
246,Estudiante_246,2022-05-09,f,Santa Cruz de la Sierra,2022,246,2,89.0,10,2024
247,Estudiante_247,2020-03-20,f,Cochabamba,2020,247,2,91.0,4,2024
248,Estudiante_248,2022-10-03,f,Sucre,2022,248,4,55.0,10,2024
249,Estudiante_249,2021-02-14,f,La Paz,2021,249,2,91.0,2,2024
250,Estudiante_250,2023-12-24,f,La Paz,2023,250,2,82.0,4,2024
251,Estudiante_251,2023-07-19,f,Santa Cruz de la Sierra,2023,251,3,58.0,10,2024
252,Estudiante_252,2020-11-23,m,Cochabamba,2020,252,3,66.0,1,2024
253,Estudiante_253,2020-09-22,f,Cochabamba,2020,253,2,73.0,7,2024
254,Estudiante_254,2021-06-16,f,La Paz,2021,254,3,71.0,7,2024
255,Estudiante_255,2023-02-07,f,Cochabamba,2023,255,2,57.0,9,2024
256,Estudiante_256,2021-04-28,f,Santa Cruz de la Sierra,2021,256,2,77.0,10,2024
257,Estudiante_257,2023-08-16,m,Cochabamba,2023,257,1,53.0,7,2024
258,Estudiante_258,2021-02-16,f,La Paz,2021,258,1,58.0,2,2024
259,Estudiante_259,2020-10-25,m,Santa Cruz de la Sierra,2020,259,5,84.0,7,2024
260,Estudiante_260,2022-07-26,f,Santa Cruz de la Sierra,2022,260,5,68.0,8,2024
261,Estudiante_261,2022-06-18,m,Tarija,2022,261,4,56.0,6,2024
262,Estudiante_262,2023-05-09,m,La Paz,2023,262,2,66.0,3,2024
263,Estudiante_263,2023-07-30,f,Tarija,2023,263,1,95.0,4,2024
264,Estudiante_264,2021-09-17,m,Sucre,2021,264,2,60.0,1,2024
265,Estudiante_265,2020-11-02,f,Cochabamba,2020,265,1,65.0,4,2024
266,Estudiante_266,2020-12-01,m,Tarija,2020,266,4,66.0,2,2024
267,Estudiante_267,2022-05-04,f,Sucre,2022,267,4,62.0,4,2024
268,Estudiante_268,2022-02-03,f,Santa Cruz de la Sierra,2022,268,1,53.0,10,2024
269,Estudiante_269,2021-07-29,f,Sucre,2021,269,1,66.0,1,2024
270,Estudiante_270,2022-02-07,f,Santa Cruz de la Sierra,2022,270,1,63.0,5,2024
271,Estudiante_271,2023-10-17,m,Santa Cruz de la Sierra,2023,271,2,66.0,5,2024
272,Estudiante_272,2022-12-24,f,Tarija,2022,272,5,66.0,3,2024
273,Estudiante_273,2021-02-07,f,Santa Cruz de la Sierra,2021,273,1,66.0,7,2024
274,Estudiante_274,2020-07-11,m,Cochabamba,2020,274,4,53.0,8,2024
275,Estudiante_275,2023-11-19,f,Santa Cruz de la Sierra,2023,275,1,68.0,9,2024
276,Estudiante_276,2022-10-16,m,Sucre,2022,276,3,70.0,6,2024
277,Estudiante_277,2021-05-27,m,La Paz,2021,277,2,66.0,1,2024
278,Estudiante_278,2021-03-11,f,La Paz,2021,278,2,54.0,3,2024
279,Estudiante_279,2023-08-02,m,La Paz,2023,279,1,53.0,9,2024
280,Estudiante_280,2020-10-27,f,Tarija,2020,280,1,35.0,1,2024
281,Estudiante_281,2021-11-16,f,La Paz,2021,281,4,95.0,10,2024
282,Estudiante_282,2022-05-31,m,Santa Cruz de la Sierra,2022,282,1,95.0,3,2024
283,Estudiante_283,2023-12-14,m,Santa Cruz de la Sierra,2023,283,1,53.0,4,2024
284,Estudiante_284,2022-05-28,m,Cochabamba,2022,284,2,55.0,8,2024
285,Estudiante_285,2023-09-19,m,La Paz,2023,285,4,44.0,2,2024
286,Estudiante_286,2020-08-25,f,La Paz,2020,286,2,80.0,2,2024
287,Estudiante_287,2021-04-09,f,La Paz,2021,287,2,69.0,3,2024
288,Estudiante_288,2021-02-22,m,Santa Cruz de la Sierra,2021,288,4,73.0,8,2024
289,Estudiante_289,2023-07-28,m,Santa Cruz de la Sierra,2023,289,2,32.0,2,2024
290,Estudiante_290,2022-07-04,m,Santa Cruz de la Sierra,2022,290,2,97.0,8,2024
291,Estudiante_291,2020-02-05,m,La Paz,2020,291,3,78.0,4,2024
292,Estudiante_292,2020-03-07,f,La Paz,2020,292,3,66.0,2,2024
293,Estudiante_293,2021-02-13,f,Cochabamba,2021,293,2,66.0,3,2024
294,Estudiante_294,2022-08-01,f,La Paz,2022,294,1,91.0,4,2024
295,Estudiante_295,2022-01-18,m,Tarija,2022,295,5,57.0,6,2024
296,Estudiante_296,2023-12-24,m,La Paz,2023,296,3,85.0,4,2024
297,Estudiante_297,2020-08-03,f,Santa Cruz de la Sierra,2020,297,3,98.0,3,2024
298,Estudiante_298,2022-10-27,f,Sucre,2022,298,3,66.0,2,2024
299,Estudiante_299,2021-09-13,m,Cochabamba,2021,299,1,66.0,8,2024
300,Estudiante_300,2023-06-26,f,Santa Cruz de la Sierra,2023,300,1,90.0,6,2024
301,Estudiante_301,2023-01-11,m,Santa Cruz de la Sierra,2023,301,5,79.0,3,2024
302,Estudiante_302,2021-04-27,f,La Paz,2021,302,4,78.0,1,2024
303,Estudiante_303,2020-05-06,f,Sucre,2020,303,4,61.0,10,2024
304,Estudiante_304,2023-05-10,f,Cochabamba,2023,304,1,66.0,1,2024
305,Estudiante_305,2021-05-01,m,La Paz,2021,305,1,95.0,5,2024
306,Estudiante_306,2023-02-25,m,Santa Cruz de la Sierra,2023,306,2,34.0,9,2024
307,Estudiante_307,2020-02-21,m,Santa Cruz de la Sierra,2020,307,1,97.0,4,2024
308,Estudiante_308,2023-02-16,f,La Paz,2023,308,2,66.0,2,2024
309,Estudiante_309,2020-09-18,f,Sucre,2020,309,3,57.0,2,2024
310,Estudiante_310,2021-11-17,f,Cochabamba,2021,310,1,96.0,3,2024
311,Estudiante_311,2020-10-14,m,Cochabamba,2020,311,4,77.0,6,2024
312,Estudiante_312,2021-08-28,m,Cochabamba,2021,312,1,82.0,1,2024
313,Estudiante_313,2023-03-17,f,La Paz,2023,313,2,95.0,10,2024
314,Estudiante_314,2023-01-09,f,Cochabamba,2023,314,4,65.0,6,2024
315,Estudiante_315,2020-07-04,f,La Paz,2020,315,1,66.0,8,2024
316,Estudiante_316,2020-06-06,f,La Paz,2020,316,1,90.0,4,2024
317,Estudiante_317,2021-11-07,m,Sucre,2021,317,1,88.0,6,2024
318,Estudiante_318,2023-05-22,m,Cochabamba,2023,318,2,96.0,3,2024
